name, chained, nodes, throughput, goodput, mean, sd, rec, sent, batch_size, msg_size
2test35_200_4_99999999999, #2, 4, 200, 170.626635, 1.077558, 0.693450, 1586, 2000, 99999999999, 1
2test36_800_4_99999999999, #2, 4, 800, 131.564358, 0.313404, 0.841014, 1183, 8000, 99999999999, 1
2test37_600_4_99999999999, #2, 4, 600, 101.595401, 0.248538, 0.647095, 835, 6000, 99999999999, 1
2test38_10_4_99999999999, #2, 4, 10, 10.176031, 0.482860, 0.198344, 96, 100, 99999999999, 1
2test39_400_4_99999999999, #2, 4, 400, 210.692086, 0.807382, 1.021805, 1953, 4000, 99999999999, 1
2test40_1500_4_99999999999, #2, 4, 1500, 82.356312, 0.161171, 0.804095, 760, 15000, 99999999999, 1
2test41_4000_4_99999999999, #2, 4, 4000, 54.925803, 0.034134, 0.414070, 270, 40000, 99999999999, 1
2test42_1000_4_99999999999, #2, 4, 1000, 132.105839, 0.213098, 0.629703, 1221, 10000, 99999999999, 1
2test43_600_4_99999999999, #2, 4, 600, 202.066817, 0.780781, 1.374375, 1868, 6000, 99999999999, 1
2test44_50_4_99999999999, #2, 4, 50, 52.070833, 0.575671, 0.235513, 462, 500, 99999999999, 1
2test45_50_4_99999999999, #2, 4, 50, 47.954562, 0.551375, 0.231254, 451, 500, 99999999999, 1
2test46_100_4_99999999999, #2, 4, 100, 92.917787, 0.802618, 0.407955, 881, 1000, 99999999999, 1
2test47_10_4_99999999999, #2, 4, 10, 10.046013, 0.373582, 0.116357, 95, 100, 99999999999, 1
2test48_10_4_99999999999, #2, 4, 10, 10.391385, 0.400954, 0.152940, 95, 100, 99999999999, 1
2test49_1500_4_99999999999, #2, 4, 1500, 65.988551, 0.074505, 0.387807, 605, 15000, 99999999999, 1
2test50_4000_4_99999999999, #2, 4, 4000, 45.253560, 0.024045, 0.246353, 401, 40000, 99999999999, 1
2test51_400_4_99999999999, #2, 4, 400, 216.077704, 0.827673, 1.060223, 1926, 4000, 99999999999, 1
2test52_2000_4_99999999999, #2, 4, 2000, 151.900079, 0.452792, 1.784275, 1318, 20000, 99999999999, 1
2test53_800_4_99999999999, #2, 4, 800, 153.951552, 0.368913, 0.926227, 1330, 8000, 99999999999, 1
2test54_400_4_99999999999, #2, 4, 400, 133.084165, 0.748001, 1.208767, 1216, 4000, 99999999999, 1
2test55_1_4_99999999999, #2, 4, 1, 1.232887, 0.586627, 0.420332, 9, 10, 99999999999, 1
2test56_400_4_99999999999, #2, 4, 400, 170.598706, 0.682842, 1.002339, 1490, 4000, 99999999999, 1
2test57_1500_4_99999999999, #2, 4, 1500, 49.548498, 0.044538, 0.269409, 453, 15000, 99999999999, 1
2test58_100_4_99999999999, #2, 4, 100, 92.845452, 0.714329, 0.359676, 860, 1000, 99999999999, 1
2test59_100_4_99999999999, #2, 4, 100, 93.599495, 0.869326, 0.472730, 886, 1000, 99999999999, 1
3test0_1000_4_99999999999, #3, 4, 1000, 234.071658, 0.435718, 0.927374, 2120, 10000, 99999999999, 1
3test1_400_4_99999999999, #3, 4, 400, 318.735282, 1.212007, 0.876810, 2957, 4000, 99999999999, 1
3test2_400_4_99999999999, #3, 4, 400, 315.613261, 1.076948, 0.729424, 3040, 4000, 99999999999, 1
3test3_100_4_99999999999, #3, 4, 100, 96.534051, 0.592180, 0.236940, 913, 1000, 99999999999, 1
3test4_10_4_99999999999, #3, 4, 10, 9.865445, 0.414700, 0.191724, 94, 100, 99999999999, 1
3test5_600_4_99999999999, #3, 4, 600, 282.298923, 0.631172, 0.790248, 2463, 6000, 99999999999, 1
3test6_2000_4_99999999999, #3, 4, 2000, 121.441277, 0.234124, 1.190212, 1019, 20000, 99999999999, 1
3test7_400_4_99999999999, #3, 4, 400, 329.846866, 1.010976, 0.713771, 2986, 4000, 99999999999, 1
3test8_600_4_99999999999, #3, 4, 600, 296.701601, 0.896464, 1.119462, 2735, 6000, 99999999999, 1
3test9_50_4_99999999999, #3, 4, 50, 49.048458, 0.472957, 0.192442, 469, 500, 99999999999, 1
3test10_800_4_99999999999, #3, 4, 800, 300.570059, 0.623357, 1.008788, 2738, 8000, 99999999999, 1
3test11_4000_4_99999999999, #3, 4, 4000, -0.000000, 0.000000, 0.000000, 0, 40000, 99999999999, 1
3test12_2000_4_99999999999, #3, 4, 2000, 84.866068, 0.081878, 0.444393, 751, 20000, 99999999999, 1
3test13_200_4_99999999999, #3, 4, 200, 190.129808, 0.813261, 0.368018, 1776, 2000, 99999999999, 1
3test14_50_4_99999999999, #3, 4, 50, 49.473191, 0.522967, 0.215700, 470, 500, 99999999999, 1
3test15_1_4_99999999999, #3, 4, 1, 1.096323, 0.452247, 0.187181, 9, 10, 99999999999, 1
3test16_1_4_99999999999, #3, 4, 1, 1.069212, 0.470629, 0.222316, 9, 10, 99999999999, 1
3test17_10_4_99999999999, #3, 4, 10, 10.293489, 0.417243, 0.215919, 95, 100, 99999999999, 1
3test18_100_4_99999999999, #3, 4, 100, 95.278073, 0.606245, 0.287445, 920, 1000, 99999999999, 1
3test19_1500_4_99999999999, #3, 4, 1500, 93.359826, 0.078899, 0.342885, 856, 15000, 99999999999, 1
3test20_50_4_99999999999, #3, 4, 50, 52.611263, 0.570138, 0.291760, 468, 500, 99999999999, 1
3test21_1000_4_99999999999, #3, 4, 1000, 194.983904, 0.386439, 0.876267, 1844, 10000, 99999999999, 1
3test22_400_4_99999999999, #3, 4, 400, 333.618954, 0.846452, 0.598192, 3063, 4000, 99999999999, 1
3test23_10_4_99999999999, #3, 4, 10, 10.785185, 0.401783, 0.177115, 96, 100, 99999999999, 1
